id,pixels,pixelsWithNans,validPixels,meanPropNansValidPixels
canton_158_1.nc,1782,1782,1513,0.39020251016596597
canton_158_2.nc,1782,1782,1513,0.3350536986774452
canton_124_1.nc,24,24,14,0.38375515008828714
canton_124_2.nc,24,24,14,0.3678746576651169
canton_166_1.nc,1760,1760,1405,0.44608216262863437
canton_166_2.nc,1760,1760,1405,0.32387911461994057
canton_120_1.nc,2394,2394,933,0.39263434073507714
canton_120_2.nc,2394,2394,933,0.36333664481471234
canton_105_1.nc,285,285,239,0.3839250752965687
canton_105_2.nc,285,285,239,0.3694264070273487
canton_87_1.nc,1443,1443,723,0.41116041736372466
canton_87_2.nc,1443,1443,723,0.32045324350106585
canton_50_1.nc,2646,2646,1446,0.40699882853553915
canton_50_2.nc,2646,2646,1446,0.3633776266596123
canton_52_1.nc,1715,1715,1365,0.3840360737947554
canton_52_2.nc,1715,1715,1365,0.36094532603672147
canton_195_1.nc,2806,2806,1673,0.3863786123619006
canton_195_2.nc,2806,2806,1673,0.36972940187963405
canton_196_1.nc,770,770,693,0.38477051690706787
canton_196_2.nc,770,770,693,0.3696734236190322
canton_194_1.nc,625,625,345,0.44249387960522385
canton_194_2.nc,625,625,345,0.3393430123992841
