lat|lon|season|fishingHours|fishingDays|meanFishingHours|meanFishingDays|flagOne|cuantilDays|cuantilHours|decilDays|decilHours|logFishingHours|logFishingDays|distance|cumsumMFH|percentilMFH|decilMFH
-12.2|-76.9|verano|4.53|0.19|1.51|0.06333333333333334|1|22|22|3|3|1.5107219394949427|-1.6607312068216509|0.03248614576736736|2.3883823568771758e-05|0.0|0.0
-13.8|-76.2|verano|7.3100000000000005|0.30000000000000004|1.8275000000000001|0.07500000000000001|1|25|25|3|3|1.9892432737616872|-1.203972804325936|0.05743909205452315|5.278957692766606e-05|0.0|0.0
-12.0|-77.1|verano|276.9|11.549999999999999|34.6125|1.4437499999999999|1|85|85|9|9|5.623656430176916|2.4466854369678024|0.059444613061955226|0.0006002590095595285|0.0|0.0
-17.0|-72.0|verano|23.98|0.99|7.993333333333333|0.33|1|61|61|7|7|3.177220149599368|-0.01005033585350145|0.05951041353407876|0.0007266903758242409|0.0|0.0
-7.7|-79.4|verano|71.77|2.98|10.252857142857142|0.4257142857142857|1|66|66|7|7|4.273466561441981|1.091923300517313|0.06276539630533366|0.0008888608599804138|0.0|0.0
-18.1|-70.7|verano|1.58|0.07|1.58|0.07|1|23|22|3|3|0.4574248470388755|-2.659260036932778|0.06598483537904727|0.0009138518806682677|0.0|0.0
-9.0|-78.6|verano|26.18|1.1|3.2725|0.1375|1|39|39|4|4|3.264995760481754|0.09531017980432493|0.07040558855658577|0.0009656133459853575|0.0|0.0
-18.3|-70.4|verano|4.43|0.18|4.43|0.18|1|46|47|5|5|1.4883995840570443|-1.7147984280919266|0.0747044498439237|0.0010356831065215554|0.0|0.0
-13.7|-76.2|verano|1.08|0.05|1.08|0.05|1|18|16|2|2|0.0769610411361284|-2.995732273553991|0.07708318623410068|0.0010527655763588226|0.0|0.0
-10.7|-77.8|verano|3.4|0.14|1.7|0.07|1|24|24|3|3|1.2237754316221157|-1.9661128563728327|0.08254752328204253|0.0010796546492508174|0.0|0.0
-12.2|-77.0|verano|36.769999999999996|1.54|12.256666666666666|0.5133333333333333|1|70|70|7|7|3.6046822953131805|0.43178241642553783|0.08303247858518485|0.0012735195924348654|0.0|0.0
-16.2|-73.7|verano|16.59|0.69|8.295|0.345|1|62|62|7|7|2.808800104202353|-0.37106368139083207|0.08431650431558732|0.0014047224510460982|0.0|0.0
-11.1|-77.6|verano|4.54|0.19|0.7566666666666667|0.03166666666666667|1|12|11|2|2|1.5129270120532565|-1.6607312068216509|0.08433543146269547|0.0014166907246666526|0.0|0.0
-17.1|-71.9|verano|1.03|0.04|1.03|0.04|1|12|15|2|2|0.02955880224154443|-3.2188758248682006|0.08443782471684896|0.0014329823394188613|0.0|0.0
-4.6|-81.3|verano|0.31|0.01|0.31|0.01|1|5|5|1|1|-1.171182981502945|-4.605170185988091|0.08704925617143533|0.001437885640946225|0.0|0.0
-7.0|-79.8|verano|0.39|0.02|0.39|0.02|1|7|5|1|1|-0.941608539858445|-3.912023005428146|0.08912750274630768|0.0014440543106096827|0.0|0.0
-16.4|-73.2|verano|18.84|0.7799999999999999|6.28|0.25999999999999995|1|54|55|6|6|2.935982269148217|-0.24846135929849975|0.09269037131690394|0.0015433857092930514|0.0|0.0
-9.7|-78.3|verano|1.96|0.08|1.96|0.08|1|27|27|3|3|0.6729444732424258|-2.5257286443082556|0.09317450831638317|0.001574387228627351|0.0|0.0
-5.1|-81.1|verano|109.61000000000001|4.5600000000000005|27.402500000000003|1.1400000000000001|1|82|82|9|9|4.696928611227632|1.5173226235262949|0.09327074782588668|0.0020078153579937536|0.0|0.0
-13.4|-76.2|verano|70.48|2.93|11.746666666666668|0.48833333333333334|1|69|69|7|7|4.255328981627924|1.075002423028976|0.09431425143009996|0.002193613579310203|0.0|0.0
-18.2|-70.6|verano|12.75|0.53|12.75|0.53|1|71|71|8|8|2.545531271604435|-0.6348782724359695|0.09592717200399972|0.0023952816260001636|0.0|0.0
-17.0|-72.1|verano|122.00999999999999|5.08|24.401999999999997|1.016|1|81|81|9|9|4.8041030085872425|1.6253112615903906|0.09827037396896054|0.0027812505417121954|0.0|0.0
-11.3|-77.6|verano|5.26|0.22|5.26|0.22|1|50|50|5|5|1.6601310267496185|-1.5141277326297755|0.09887173610289052|0.0028644484966603673|0.0|0.0
-8.2|-79.0|verano|0.4|0.02|0.4|0.02|1|7|5|1|1|-0.916290731874155|-3.912023005428146|0.09913333189262412|0.0028707753373408366|0.0|0.0
-7.3|-79.6|verano|0.24|0.01|0.24|0.01|1|4|3|1|1|-1.4271163556401458|-4.605170185988091|0.09964025563813374|0.0028745714417491184|0.0|0.0
-12.6|-76.7|verano|0.25|0.01|0.25|0.01|1|3|3|1|1|-1.3862943611198906|-4.605170185988091|0.10062968995281796|0.0028785257171744117|0.0|0.0
-13.0|-76.5|verano|0.69|0.03|0.345|0.015|1|5|5|1|1|-0.37106368139083207|-3.506557897319982|0.1010450122470242|0.0028839826172613165|0.0|0.0
-9.2|-78.5|verano|0.14|0.01|0.14|0.01|1|4|2|1|1|-1.9661128563728327|-4.605170185988091|0.10616964826777665|0.0028861970114994807|0.0|0.0
-7.8|-79.4|verano|0.27|0.01|0.09000000000000001|0.0033333333333333335|1|2|1|1|1|-1.3093333199837622|-4.605170185988091|0.10618950157943577|0.002887620550652586|0.0|0.0
-13.6|-76.2|verano|0.64|0.03|0.64|0.03|1|10|9|1|1|-0.4462871026284195|-3.506557897319982|0.10629319486835005|0.002897743495741337|0.0|0.0
