|lat|lon|season|fishingHours|fishingDays|meanFishingHours|meanFishingDays|nCount|medianFishingHoursPerMonth|flagOne|cuantilDays|cuantilHours|decilDays|decilHours|logFishingHours|logFishingDays|lonTimesFishing|sumfishingHoursPerMonth|distance|fishingHoursTimesDistance
27|-18.8|-73.1|verano|0.93|1.0|0.93|1.0|1|0.93|1|1|13|1|2|-0.07257069283483537|0.0|-8.487265917602997|8.01|2.153288834341546|6.327677243045013e-06
28|-18.7|-75.8|verano|4.33|1.0|4.33|1.0|4|4.33|1|1|46|1|5|1.4655675420143985|0.0|-8.819400779255677|37.214999999999996|3.2976803116888087|4.511859110249571e-05
29|-18.7|-75.7|verano|20.93|1.0|20.93|1.0|19|20.93|1|1|78|1|8|3.0411835364579085|0.0|-42.57425769179095|37.214999999999996|3.254032726630003|0.0002152039442105295
30|-18.7|-74.1|verano|0.08|1.0|0.08|1.0|1|0.08|1|1|1|1|1|-2.5257286443082556|0.0|-0.15929060862555422|37.214999999999996|2.5399531634461243|6.420587623384197e-07
31|-18.7|-74.0|verano|1.67|1.0|1.67|1.0|2|1.67|1|1|23|1|3|0.5128236264286637|0.0|-3.3207040171973667|37.214999999999996|2.498467945061531|1.318406498390481e-05
32|-18.7|-73.7|verano|7.29|1.0|7.29|1.0|6|7.29|1|1|59|1|6|1.986503546020567|0.0|-14.437001209189845|37.214999999999996|2.3660881605299533|5.450263918906786e-05
33|-18.7|-73.5|verano|5.31|2.0|2.655|1.0|5|2.655|1|1|34|1|4|1.6695918352538475|0.6931471805599453|-5.243651753325272|37.214999999999996|2.2918274767966307|3.8453469003789255e-05
34|-18.7|-72.9|verano|0.26|1.0|0.26|1.0|1|0.26|1|1|4|1|1|-1.3470736479666092|0.0|-0.509310761789601|37.214999999999996|1.9549365217571641|1.6060722931585126e-06
35|-18.6|-75.7|verano|1.23|1.0|1.23|1.0|1|1.23|1|1|19|1|2|0.20701416938432612|0.0|-6.974606741573035|13.35|3.1642777119115233|1.2298121676964467e-05
36|-18.6|-73.9|verano|4.9399999999999995|1.0|4.9399999999999995|1.0|5|4.9399999999999995|1|1|49|1|5|1.597365331199831|0.0|-27.345767790262173|13.35|2.366892304985598|3.6945753523343006e-05
37|-18.6|-73.8|verano|0.2|1.0|0.2|1.0|1|0.2|1|2|3|1|1|-1.6094379124341003|0.0|-1.1056179775280899|13.35|2.3193165336796997|1.4657135459389823e-06
38|-18.6|-73.7|verano|3.38|1.0|3.38|1.0|4|3.38|1|2|40|1|4|1.2178757094949273|0.0|-18.659625468164794|13.35|2.2751437720284904|2.429878891156804e-05
39|-18.6|-73.5|verano|3.66|2.0|1.83|1.0|5|1.83|1|2|25|1|3|1.297463147413275|0.6931471805599453|-10.075280898876404|13.35|2.197812363101095|2.541737985569845e-05
40|-18.6|-73.0|verano|1.77|1.0|1.77|1.0|2|1.77|1|2|25|1|3|0.5709795465857378|0.0|-9.678651685393259|13.35|1.931243399056682|1.0801134165677368e-05
41|-18.5|-74.0|verano|4.73|1.0|4.73|1.0|6|4.73|1|2|48|1|5|1.5539252025038417|0.0|-6.060952380952382|57.75|2.3163855621420177|3.462031954050162e-05
42|-18.5|-73.9|verano|17.28|2.0|8.64|1.0|22|8.64|1|2|63|1|7|2.8495497633759097|0.6931471805599453|-11.056207792207793|57.75|2.2752191262601507|0.00012422987550015754
43|-18.5|-73.8|verano|8.65|1.0|8.65|1.0|10|8.65|1|2|63|1|7|2.157559320943788|0.0|-11.054025974025974|57.75|2.2309493905958537|6.0976839099869266e-05
44|-18.5|-73.6|verano|9.379999999999999|1.0|9.379999999999999|1.0|11|9.379999999999999|1|2|65|1|7|2.238579763018133|0.0|-11.95442424242424|57.75|2.142716776291259|6.350774469734684e-05
45|-18.5|-73.5|verano|11.11|1.0|11.11|1.0|13|11.11|1|2|68|1|7|2.4078456036515385|0.0|-14.139999999999999|57.75|2.104349111578213|7.387388377711286e-05
46|-18.5|-73.4|verano|3.64|2.0|1.82|1.0|5|1.82|1|2|25|1|3|1.2919836816486494|0.6931471805599453|-2.3132121212121217|57.75|2.069965469669706|2.3808035771414432e-05
47|-18.5|-73.0|verano|0.92|1.0|0.92|1.0|1|0.92|1|2|13|1|2|-0.08338160893905101|0.0|-1.162943722943723|57.75|1.8453772152056072|5.364534756302794e-06
48|-18.5|-72.4|verano|0.95|1.0|0.95|1.0|1|0.95|1|2|13|1|2|-0.05129329438755058|0.0|-1.190995670995671|57.75|1.4417884361098192|4.327969835018595e-06
49|-18.5|-72.3|verano|5.61|1.0|5.61|1.0|4|5.61|1|2|52|1|6|1.724550719534605|0.0|-7.023428571428572|57.75|1.364173703932157|2.418196659734938e-05
50|-18.5|-72.1|verano|1.8|1.0|1.8|1.0|1|1.8|1|2|25|1|3|0.5877866649021191|0.0|-2.247272727272727|57.75|1.2187706488507097|6.931920508156154e-06
51|-18.5|-72.0|verano|2.38|1.0|2.38|1.0|4|2.38|1|2|32|1|4|0.8671004876833833|0.0|-2.967272727272727|57.75|1.1522230228996428|8.66508022091131e-06
52|-18.5|-71.9|verano|1.76|1.0|1.76|1.0|2|1.76|1|2|24|1|3|0.5653138090500605|0.0|-2.1912380952380954|57.75|1.0907950744754944|6.066174763518857e-06
53|-18.4|-76.0|verano|0.38|1.0|0.38|1.0|2|0.38|1|2|5|1|1|-0.9675840262617056|0.0|-0.2531002147145173|114.105|3.1313702173489495|3.7599069332331914e-06
54|-18.4|-74.3|verano|0.15|1.0|0.15|1.0|1|0.15|1|2|2|1|1|-1.8971199848858813|0.0|-0.09767319574076508|114.105|2.3570231369462578|1.1171569371018496e-06
55|-18.4|-74.2|verano|0.7|1.0|0.7|1.0|1|0.7|1|2|10|1|1|-0.35667494393873245|0.0|-0.45519477674072123|114.105|2.312691087910357|5.115342869610848e-06
56|-18.4|-74.1|verano|2.78|1.0|2.78|1.0|5|1.39|1|2|35|1|4|1.0224509277025455|0.0|-0.9026685947153935|114.105|2.271898340177213|1.9956885798620028e-05
57|-18.4|-74.0|verano|5.07|2.0|2.535|1.0|5|2.0975|1|2|33|1|4|1.623340817603092|0.6931471805599453|-1.3602821962227774|114.105|2.2264977144609843|3.566886539715698e-05
58|-18.4|-73.9|verano|12.94|2.0|6.47|1.0|12|3.9799999999999995|1|2|55|1|6|2.5603232890727545|0.6931471805599453|-2.5776433986240743|114.105|2.183637349126452|8.928404798244256e-05
59|-18.4|-73.8|verano|4.67|1.0|4.67|1.0|7|2.335|1|2|48|1|5|1.541159071680806|0.0|-1.5102142763244377|114.105|2.143604717152863|3.1631564055244206e-05
60|-18.4|-73.6|verano|35.03|2.0|35.03|2.0|27|35.03|1|83|86|9|9|3.5562048372093953|0.6931471805599453|-22.595048420314622|114.105|2.0516191613942385|0.00022708893096079036
61|-18.4|-73.5|verano|31.439999999999998|3.0|15.719999999999999|1.5|27|15.719999999999999|1|77|74|8|8|3.4480809675610056|1.0986122886681098|-10.125936637307742|114.105|2.011514649064234|0.00019983190062876634
62|-18.4|-73.4|verano|2.94|1.0|2.94|1.0|3|2.94|1|2|37|1|4|1.0784095813505903|0.0|-1.8912054686472985|114.105|1.9756622138918418|1.8353508871102796e-05
63|-18.4|-72.9|verano|10.8|1.0|10.8|1.0|8|10.8|1|2|67|1|7|2.379546134130174|0.0|-6.899960562639675|114.105|1.7081080370983583|5.829055274841378e-05
64|-18.4|-72.7|verano|0.37|1.0|0.37|1.0|1|0.37|1|2|5|1|1|-0.9942522733438669|0.0|-0.23573901231322028|114.105|1.5944217773537817|1.8640777538047871e-06
65|-18.4|-72.4|verano|4.36|1.0|4.36|1.0|5|4.36|1|2|46|1|5|1.472472057360943|0.0|-2.766434424433636|114.105|1.3827277007784273|1.9049440938490913e-05
66|-18.4|-72.3|verano|12.11|1.0|12.11|1.0|9|12.11|1|2|70|1|7|2.494031557565001|0.0|-7.673222032338634|114.105|1.30159590292071|4.98057400997099e-05
67|-18.4|-72.0|verano|6.74|2.0|3.37|1.0|5|3.37|1|2|40|1|4|1.9080599249242156|0.6931471805599453|-2.1264624687787563|114.105|1.0774042391321785|2.2945507012222673e-05
68|-18.4|-71.9|verano|24.29|3.0|8.096666666666666|1.0|10|7.15|1|2|61|1|7|3.190064743014081|1.0986122886681098|-4.505367862933263|114.105|1.0114424820522405|7.762967847824503e-05
69|-18.4|-71.8|verano|0.63|1.0|0.63|1.0|1|0.63|1|2|9|1|1|-0.4620354595965587|0.0|-0.3964243459971079|114.105|0.9514367527586834|1.8939981699659805e-06
70|-18.4|-71.5|verano|1.19|1.0|1.19|1.0|1|1.19|1|2|18|1|2|0.17395330712343798|0.0|-0.745672845186451|114.105|0.7756227666204764|2.9164638096790467e-06
71|-18.4|-71.4|verano|5.92|2.0|2.96|1.0|2|2.96|1|2|37|1|4|1.7783364488959144|0.6931471805599453|-1.852188773498094|114.105|0.7209221012703145|1.3485564437631348e-05
72|-18.4|-71.3|verano|3.4000000000000004|2.0|1.7000000000000002|1.0|4|1.2025000000000001|1|2|24|1|3|1.2237754316221159|0.6931471805599453|-0.751397835327111|114.105|0.6766584634067615|7.269549819348094e-06
73|-18.4|-71.2|verano|6.68|2.0|3.34|1.0|6|2.51|1|2|39|1|4|1.8991179875485542|0.6931471805599453|-1.5662065641295297|114.105|0.6086227111273452|1.2846466795851776e-05
74|-18.4|-71.1|verano|1.1|1.0|1.1|1.0|2|1.1|1|2|16|1|2|0.09531017980432493|0.0|-0.6854213224661495|114.105|0.55012326300566|1.912105177314262e-06
75|-18.4|-70.7|verano|0.68|1.0|0.68|1.0|1|0.68|1|3|10|1|1|-0.3856624808119846|0.0|-0.4213312300074493|114.105|0.3195179860401559|6.865359833090273e-07
76|-18.4|-70.4|verano|0.95|1.0|0.95|1.0|2|0.95|1|3|13|1|2|-0.05129329438755058|0.0|-0.5861268130230927|114.105|0.14760455548525758|4.4308030752083555e-07
77|-18.3|-74.6|verano|0.06|1.0|0.06|1.0|1|0.06|1|3|1|1|1|-2.8134107167600364|0.0|-0.01884525781008785|237.51333333333332|2.367525136698658|4.4885382561880495e-07
78|-18.3|-74.2|verano|0.67|1.0|0.67|1.0|1|0.67|1|3|9|1|1|-0.40047756659712525|0.0|-0.20931035450641372|237.51333333333332|2.222624590006148|4.70543739417959e-06
79|-18.3|-74.1|verano|13.38|1.0|13.38|1.0|19|6.69|1|3|72|1|8|2.5937610547000824|0.0|-2.0871628259466135|237.51333333333332|2.1801472583520556|9.217242729150956e-05
80|-18.3|-74.0|verano|20.62|1.0|20.62|1.0|20|10.31|1|3|78|1|8|3.026261478588814|0.0|-3.2121986134111773|237.51333333333332|2.1375083795157375|0.00013926935647151398
81|-18.3|-73.9|verano|25.85|2.0|25.85|2.0|26|12.925|1|83|82|9|9|3.2523106009544382|0.6931471805599453|-4.021490021612823|237.51333333333332|2.092826335962926|0.0001709435903205381
82|-18.3|-73.8|verano|49.71|3.0|49.71|3.0|42|49.71|1|91|90|10|9|3.906206120106581|1.0986122886681098|-15.445861284980493|237.51333333333332|2.0520482627121597|0.00032232234642496374
83|-18.3|-73.7|verano|0.18|1.0|0.18|1.0|2|0.18|1|3|3|1|1|-1.7147984280919266|0.0|-0.055853706458584784|237.51333333333332|2.007485288464158|1.1417840144122997e-06
84|-18.3|-73.6|verano|9.739999999999998|2.0|4.869999999999999|1.0|8|4.869999999999999|1|3|49|1|5|2.2762411176544437|0.6931471805599453|-1.5091026468689475|237.51333333333332|1.961389095360736|6.036452606946802e-05
85|-18.3|-72.4|verano|22.43|1.0|22.43|1.0|15|22.43|1|3|79|1|8|3.110399348532117|0.0|-6.837224576865861|237.51333333333332|1.3285773949981232|9.41619002819104e-05
86|-18.3|-72.3|verano|11.84|2.0|5.92|1.0|13|5.92|1|3|53|1|6|2.4714836294558595|0.6931471805599453|-1.802071462654728|237.51333333333332|1.2439187652334784|4.653747369979719e-05
87|-18.3|-72.2|verano|15.79|2.0|7.895|1.0|20|4.5600000000000005|1|3|61|1|7|2.7593768282675506|0.6931471805599453|-1.3861621803688216|237.51333333333332|1.1617012931472506|5.796097531154829e-05
88|-18.3|-72.1|verano|6.130000000000001|2.0|3.0650000000000004|1.0|6|1.8175000000000001|1|3|38|1|4|1.8131947499481202|0.6931471805599453|-0.5517237628764702|237.51333333333332|1.0824813598856935|2.096717804630208e-05
89|-18.3|-72.0|verano|14.97|2.0|7.485|1.0|6|6.135|1|3|59|1|6|2.706048198431537|0.6931471805599453|-1.8597692761108149|237.51333333333332|1.0069666799353352|4.7631689086891455e-05
90|-18.3|-71.9|verano|16.93|4.0|4.2325|1.0|16|2.6233333333333335|1|3|45|1|5|2.829087196145044|1.3862943611198906|-0.7941350661015524|237.51333333333332|0.9360544292400951|5.0074560091693526e-05
91|-18.3|-71.8|verano|36.68|5.0|9.17|1.25|32|4.57|1|73|64|8|7|3.602231647388264|1.6094379124341003|-1.3815055996856318|237.51333333333332|0.8708696196905661|0.00010093494469329585
92|-18.3|-71.7|verano|10.83|2.0|5.415|1.0|6|4.04|1|3|51|1|6|2.382320061012899|0.6931471805599453|-1.2195862688410477|237.51333333333332|0.8127914212760848|2.781420490337185e-05
93|-18.3|-71.6|verano|43.97|2.0|21.985|1.0|37|9.034166666666666|1|3|79|1|8|3.7835075831927187|0.6931471805599453|-2.72341061554439|237.51333333333332|0.7591774486903559|0.0001054772616918464
94|-18.3|-71.5|verano|37.33|3.0|12.443333333333333|1.0|23|4.015000000000001|1|3|70|1|7|3.6197972929264925|1.0986122886681098|-1.208658461279367|237.51333333333332|0.6975605178764092|8.228088671569939e-05
95|-18.3|-71.4|verano|61.42|3.0|30.71|1.5|55|8.582083333333333|1|77|84|8|9|4.117735515012677|1.0986122886681098|-2.5799004266427152|237.51333333333332|0.6361828951645964|0.00012346699615234616
