producer_id,zone,lot,plot,orig_crop,variety,seedtime,harvest_date,flag,Unnamed: 10,show_furrow,n_plants_m,n_plants_ha,date_beginning_flowering,mature_maturation_date,plant_height,fertitilized,type_of_fertilizer,dose_kg_ha,rend_ton_ha,cond_climaticas_de_la_campana,producer_handling,notes,id_lot,cultivation_id,culture,yr,summer,latitude,longitude,flowering_date,seed_date,diff_date,closest_date_index_ndvi,closest_date_index_ndpi,closest_date_index_pp,closest_date_index_vhi,closest_id_grid,ndvi,ndpi,pp,vhi,ndvi_anomaly,ndpi_anomaly,pp_anomaly,vhi_anomaly,ndvi_anomaly_minus_1_month,ndpi_anomaly_minus_1_month,pp_anomaly_minus_1_month,vhi_anomaly_minus_1_month,ndvi_anomaly_minus_2_month,ndpi_anomaly_minus_2_month,pp_anomaly_minus_2_month,vhi_anomaly_minus_2_month,ndvi_anomaly_seed_date,ndpi_anomaly_seed_date,pp_anomaly_seed_date,vhi_anomaly_seed_date,ndvi_seed_date,ndvi_anomaly_seed_date_minus_1_month,ndpi_anomaly_seed_date_minus_1_month,pp_anomaly_seed_date_minus_1_month,vhi_anomaly_seed_date_minus_1_month,ndvi_anomaly_seed_date_minus_2_month,ndpi_anomaly_seed_date_minus_2_month,pp_anomaly_seed_date_minus_2_month,vhi_anomaly_seed_date_minus_2_month,ndvi_anomaly_flowering_date,ndpi_anomaly_flowering_date,pp_anomaly_flowering_date,vhi_anomaly_flowering_date,ndvi_flowering_date,ndpi_flowering_date,pp_flowering_date,vhi_flowering_date,ndvi_anomaly_flowering_date_minus_1_month,ndpi_anomaly_flowering_date_minus_1_month,pp_anomaly_flowering_date_minus_1_month,vhi_anomaly_flowering_date_minus_1_month,ndvi_anomaly_flowering_date_minus_2_month,ndpi_anomaly_flowering_date_minus_2_month,pp_anomaly_flowering_date_minus_2_month,vhi_anomaly_flowering_date_minus_2_month,Month,Year,ENSO,pixel_id,anomaly_sum,swc_sum,climatology_sum
7,Okinawa I,2,El Centro,soya,sem West 4863,2017-12-08,2018-03-28,True,,0.52,10.0,192307.69,1/14/2018,3/18/2018,1.15,0,0,0,2.5,Regular,Regular,,10,4,SOYA,2017,1,-17.25337,-62.89017,2018-01-14,2017-12-08,110 days,6540.0,6588.0,6588.0,13523.0,108,4683.34327411167,0.330542315645721,18.719349193573,33.7632485173805,-878.107947335026,-0.781348439193404,-12.8397459271881,-34.8878680628739,-60443.0262135152,-14.5116189148,-326.169765080429,-725.967343948275,-47468.740708108,-29.3200382426331,-720.704259913829,-1029.39602256233,-178.046865557771,0.142930018253519,-4.73629174232483,-14.0185183278222,3443.44810267857,-3871.74574769231,5.58249853561267,-76.7030447036028,-296.124658822007,-25703.4859391052,9.13206585269676,-144.280700813234,-754.870835530288,1317.78288457294,0.25306842266388,-5.75383909891049,-15.1916873510421,7936.70431472081,0.483150514273783,19.1222965240479,31.3146890461494,12176.9824060725,19.5907498446902,-18.1263503358632,-472.31396975884,8457.52422051002,20.4742274250922,-163.679845693297,-839.453298336678,3.0,2018.0,ninia,0.0,4764.590909090909,14705.0,9940.409090909092
15,Este,11,Chihuahua,Soya,Munasqa,2017-12-15,2018-04-12,True,,0.52,13.0,250000.0,1/19/2018,3/23/2018,0.7,0,0,0,2.2,Regular,BUENA,,52,4,SOYA,2016,1,-17.06818,-61.95138,2018-01-19,2017-12-15,118 days,6545.0,6593.0,6593.0,13528.0,56,4432.45653553299,-0.0462556564262222,16.7713370704215,41.7597154325466,-1288.69492914552,-0.061702933609077,-4.98468686445209,-39.1636695336978,-65960.5601602157,-8.22084705425456,-262.010584571499,-699.770655622818,-122924.398543828,-20.4406392993735,-629.949769299177,-873.465617067028,337.374486510623,0.0502887439494959,-2.94441710204294,-1.61213402127552,6048.71666666667,-3188.46788881836,-8.94997122051244,-236.61354668061,-107.683821920768,-34176.0189146221,5.55321174360754,-186.368865932195,-702.819608721407,864.834446038402,-0.134267405483949,-8.8349022801767,15.531315027758,8656.84010152284,0.0143811791688626,16.138524837581,66.2730383269607,25843.4283388246,13.2936192138255,-3.96101946015324,330.444838995862,24452.4046300095,5.4580812235442,-225.743778360019,241.138850475072,4.0,2018.0,,17.0,3868.454545454545,15007.0,11138.545454545452
13,Este,1SRaf70,San Rafael 1,Pasto,B.Piata,2017-12-21,,False,,0.46,,,,,,0,0,0,0.0,,,,30,3,PASTO,2017,1,-17.26181,-62.27624,,2017-12-21,122 days,,,,,61,6987.47779187817,0.941907644343638,22.0120010375977,47.3198942108498,1350.08913652707,2.33428871849205,7.56874750753244,-41.1654282831818,17430.3662357233,4.76582817872423,-150.171960172802,-1214.85580579556,1234.58996933164,-11.3533561020775,-482.458902594944,-2135.30185552913,1071.73259511293,0.888501898998662,2.00185775657495,-5.64961527942923,7383.37879458038,20592.225717595,-8.82071653713786,-238.215981047849,-260.843023295704,37417.0716582255,2.89618602561144,-254.214344796042,-462.927861704491,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
15,Este,5,Chihuahua,Soya,Munasqa,2017-12-21,2018-04-18,True,,0.52,13.0,250000.0,1/25/2018,1/25/2018,0.8,0,0,0,2.4,Regular,BUENA,,56,4,SOYA,2017,1,-17.08142,-61.9413,2018-01-25,2017-12-21,118 days,6551.0,6599.0,6599.0,13534.0,47,4334.78027777778,0.139657429658062,19.8238868713379,69.3905344279651,-1356.64038194445,0.484861975662122,0.0607339650392529,-16.0069448844348,-61001.6765625,-9.44958125330102,-265.588131257892,-629.005276682493,-135197.719256743,-19.0774559128379,-587.474956368903,-1374.23751964319,-527.530255741952,0.188844791630397,-1.26401377419631,22.5201638222453,5841.8013224001,-2721.54396580432,-6.34308481667111,-195.077210372686,220.354349153827,-39971.7468099715,4.12403016126789,-179.44837834239,-524.614467898646,888.602221241325,1.67499424262964,15.1676261062423,16.7213876923473,9056.60991539763,2.44967877861961,53.1193418502808,63.4758500563135,31990.2600473606,11.3262702448723,-44.7643419530081,582.487766577114,30118.0113237088,11.4615542078061,-153.307327461847,943.565900651742,4.0,2018.0,,18.0,3779.9242424242434,14974.0,11194.075757575758
3,Centro,1,Okinawa 2,Sorgo,Fox,2018-03-07,2018-06-20,True,,0.4,9.5,237500.0,4/17/2018,6/1/2018,1.1,0,0,0,2.55,Bueno,Bueno,,4,2,SORGO,2018,0,-17.43107,-62.79027,2018-04-17,2018-03-07,105 days,6633.0,6681.0,6681.0,13616.0,26,8072.73046875,-0.956453998161127,1.49497759342194,39.4783570701472,955.441336495536,-0.274088515071943,-3.73862817287445,-17.4163599149491,33622.3243931362,-10.9880925792386,-134.440390089651,-711.947333181604,42688.3666643415,8.28160171184196,-143.925196413447,-1403.93639225232,-2144.07985723586,-0.920340102766335,-17.4903417726358,0.0222652788102309,3743.50948660714,-20267.4429105202,-16.0484060089408,-359.016305265203,-275.079297063228,221.83736898292,-10.2073696536303,-562.567971747989,-335.557455861826,-1024.39271763393,-0.160179570557996,-3.63548923507333,-11.6436972296784,3604.203125,-0.566019655814539,2.94254622459412,25.5409923514261,-40591.7020089286,0.791732979411573,-164.411710252116,-21.9262081675735,-87983.3260980768,-11.3099790123725,-468.472940038269,-126.403002606934,6.0,2018.0,,0.0,3044.272727272727,13623.0,10578.727272727272
3,Centro,2,Okinawa 2,Sorgo,Fox,2018-03-07,2018-06-20,True,,0.4,9.5,237500.0,4/17/2018,6/1/2018,1.1,0,0,0,2.45,Bueno,Bueno,,5,2,SORGO,2018,0,-17.43241,-62.81361,2018-04-17,2018-03-07,105 days,6633.0,6681.0,6681.0,13616.0,27,7753.95748730965,-0.917885274067868,1.17367217540741,-0.338447714128936,339.850227368867,-0.323229954449507,-4.28924907843272,36.9496790489566,37367.5188372462,-10.1566107551794,-133.120430488388,419.172779057024,83511.6055678934,10.3480034939467,-149.389461477349,-425.463352625782,-2425.56793305837,-0.88587221744464,-17.8888770098488,-44.3046966212434,4076.34010152284,-19189.9551837343,-16.5338612637496,-382.784630267322,-850.015837924129,7178.59141193998,-10.3485382379644,-588.220666913937,-1476.68481202677,-590.930758248731,-0.0947957934895994,-3.54882632469138,-41.396900133131,3916.34961928934,-0.524041163164674,2.74027013778686,6.06228918134741,-39018.2071568316,-1.46916914643208,-189.193635306011,-1368.14958221495,-86466.4228848258,-13.2585031317482,-510.154395408928,-2490.39204292325,6.0,2018.0,,0.0,3044.272727272727,13623.0,10578.727272727272
4,Centro,1,N. Horizonte,Maiz,BS-290,2018-03-15,2018-08-14,True,,0.52,3.3,63461.538,5/14/2018,7/18/2018,2.1,0,0,0,4.14,malo,Regular,,6,1,MAIZ,2018,0,-17.2344,-62.81448,2018-05-14,2018-03-15,152 days,6660.0,6708.0,6708.0,13643.0,107,5072.97777777778,-0.164795274514593,7.32421216964722,36.0380896324992,762.216134259259,-0.154096713434149,-2.20597338775794,-4.69959249821586,-40082.9672916667,21.7281469685314,139.626600839198,-265.12639286749,-95217.0282638889,9.25584402798561,1.20937743236621,-550.27621783313,-2566.31261574074,0.107350873063023,-3.75132902065913,-9.85993087306154,3528.7325,-95647.9380394525,-15.9709930932696,-344.454230612641,-529.550685521407,-107528.568814618,-23.7720108052322,-671.883197125172,-738.067536176432,1938.31947916667,1.29268644326967,2.78231921295325,-5.0918775188508,6617.82083333333,1.28458790860629,12.0515665054321,40.2900009155273,60292.6857638889,12.4676483987931,-43.0253127140303,-479.407611109051,41981.0012731481,15.3017820099624,-169.218244184678,-1148.33399606887,8.0,2018.0,,0.0,5269.075757575758,20799.0,15529.924242424244
10,Este,1 a 6,Chihuahua,Sorgo,Argensor,2018-03-26,2018-07-19,True,,0.52,11.0,211538.46,5/10/2018,7/2/2018,1.15,0,0,0,1.81,regular,bueno,,14,2,SORGO,2018,0,-17.23431,-62.15536,2018-05-10,2018-03-26,115 days,6656.0,6704.0,6704.0,13639.0,36,4391.85388888889,-0.614212084734521,3.22416877746582,28.0399990081787,-735.441516203704,-0.0415548317929655,0.135170355439185,-27.2753799062772,-15350.832974537,-13.9338571849168,-117.463291514913,-674.164684011059,-12882.6972453704,-18.4478913993345,-217.629963973165,-1213.76877105474,-1101.76574074074,-0.742097849099091,-12.8914489289125,-15.4217047889847,4227.65111111111,-51635.5878125,-11.8762783513491,-289.532898946355,-853.674234431267,-54786.3571788788,-22.3506632589456,-673.73248489971,-795.475701523049,1230.92739583333,0.053567113943259,-3.25252272387346,-23.0258095947004,6881.87388888889,-0.178923386818379,4.2152277469635,29.4889360582261,23643.2898958333,20.2634176575359,4.76239732553563,-607.12244045764,-7520.26006944442,9.72976456814826,-260.768720344951,-1205.64833260854,7.0,2018.0,,0.0,3738.6363636363635,15721.0,11982.363636363636
10,Este,1 a 13,Los Robles,Sorgo,Argensor,2018-03-26,2018-07-22,True,,0.52,11.0,211538.46,5/10/2018,7/2/2018,1.15,0,0,0,2.02,Regular,Bueno,,15,2,SORGO,2018,0,-17.03321,-62.0362,2018-05-10,2018-03-26,118 days,6656.0,6704.0,6704.0,13639.0,41,4818.90609137056,-0.573368153177768,3.59639620780945,35.8600006103516,-895.507164763113,0.158906824784646,1.18169151395559,-24.9701695528107,-51278.6236913071,-11.021771848536,-84.622148382167,-933.056200932026,-125785.770304569,-7.65556041104169,-105.799767614901,-2185.25592650967,-2218.28997461929,-0.753422643443383,-14.9967948814233,-21.261471440137,3522.7538071066,-28645.3171399112,-8.65680205041747,-299.034496655936,-497.58250061534,-23847.8505315155,-13.3305438612853,-602.904196224486,-472.067700453525,-1861.22531990271,-0.0596561359065076,-3.97234159310659,-48.4465600495201,4800.41338832487,-0.192342296399206,4.73423752784729,10.2359771431073,-53718.2935437817,15.688334282008,-5.42596033016841,-1368.34930336344,-109089.592639594,6.8115688423766,-286.178068033854,-2020.83516843024,7.0,2018.0,,7.0,3762.1818181818176,16158.0,12395.81818181818
15,Este,1,Chihuahua,Sorgo,cs822,2018-03-31,2018-07-24,True,,0.52,12.0,230769.23,5/15/2018,7/16/2018,1.2,0,0,0,2.7,Mala,BUENA,,51,2,SORGO,2018,0,-17.08809,-61.93275,2018-05-15,2018-03-31,115 days,6661.0,6709.0,6709.0,13644.0,44,4806.06218274112,-0.434422339843519,4.854674299558,27.5754705736662,-916.338409475466,-0.172311939531535,-0.600867769122124,-4.96512474447383,-18254.346169099,-10.2440410780806,-68.8406070813537,-106.583006786172,-22932.0758248731,-4.53191166742934,-72.9300267686447,43.3617179465909,-2323.10895198816,-0.29855931005384,-9.28854321936766,-23.5099548299342,4248.88134517767,-55740.9720812183,-9.49256469418691,-309.758389907993,-795.698878650738,-74742.0023092768,-24.7091061484654,-735.246250839697,-1043.4377745789,-222.391418147209,1.25176436143409,3.73035757640998,2.26005472439585,6682.18908629442,1.28759231689456,13.4730839729309,52.2533271618029,-18774.6763562817,15.5013357408547,-0.869285528858499,-223.007253026042,-85093.7446330372,6.59107856087424,-266.870328952869,-882.833147516181,7.0,2018.0,,19.0,3592.818181818182,15885.0,12292.181818181816
